Sel.;Produto;Derivação;Descrição;Custo Variável;Custo Direto Fixo;CIF;Custo Total;UM;Origem Valor;Obs.
0;2102150008;LARANJA;CURVA CARACOL M1 - LARANJA;282,090260;93,800180;0,000000;375,890440;UN;Calculado;
0;2102150008;LILAS;CURVA CARACOL M1 - LILAS;269,900980;93,800180;0,000000;363,701160;UN;Calculado;
0;2102150008;LIMAO;CURVA CARACOL M1 - VERDE LIMAO;263,834140;93,800180;0,000000;357,634320;UN;Calculado;
0;2102150008;VERDE;CURVA CARACOL M1 - VERDE;254,699540;93,800180;0,000000;348,499720;UN;Calculado;
0;2102150008;VERMELH;CURVA CARACOL M1 - VERMELHO;260,351480;93,800180;0,000000;354,151660;UN;Calculado;
0;2102160001;AMARELO;EST TEIA M1 - AMARELO;90,791521;32,830063;0,000000;123,621584;UN;Calculado;
0;2102160001;AZUL;EST TEIA M1 - AZUL;89,601059;32,830063;0,000000;122,431122;UN;Calculado;
0;2102160001;LARANJA;EST TEIA M1 - LARANJA;98,411280;32,830063;0,000000;131,241343;UN;Calculado;
0;2102160001;LILAS;EST TEIA M1 - LILAS;94,145032;32,830063;0,000000;126,975095;UN;Calculado;
0;2102160001;LIMAO;EST TEIA M1 - VERDE LIMAO;92,021638;32,830063;0,000000;124,851701;UN;Calculado;
0;2102160001;VERDE;EST TEIA M1 - VERDE;88,824528;32,830063;0,000000;121,654591;UN;Calculado;
0;2102160001;VERMELH;EST TEIA M1 - VERMELHO;90,802707;32,830063;0,000000;123,632770;UN;Calculado;
0;2102160002;AMARELO;FECHAMENTO M1 - AMARELO;45,395758;16,415032;0,000000;61,810790;UN;Calculado;
0;2102160002;AZUL;FECHAMENTO M1 - AZUL;44,800527;16,415032;0,000000;61,215559;UN;Calculado;
0;2102160002;LARANJA;FECHAMENTO M1 - LARANJA;49,205638;16,415032;0,000000;65,620669;UN;Calculado;
0;2102160002;LILAS;FECHAMENTO M1 - LILAS;47,072514;16,415032;0,000000;63,487545;UN;Calculado;
0;2102160002;LIMAO;FECHAMENTO M1 - VERDE LIMAO;46,010817;16,415032;0,000000;62,425848;UN;Calculado;
0;2102160002;VERDE;FECHAMENTO M1 - VERDE;44,412262;16,415032;0,000000;60,827293;UN;Calculado;
0;2102160002;VERMELH;FECHAMENTO M1 - VERMELHO;45,401351;16,415032;0,000000;61,816383;UN;Calculado;
0;2102160003;AMARELO;PORTAL M1 - AMARELO;51,880867;18,760036;0,000000;70,640903;UN;Calculado;
0;2102160003;AZUL;PORTAL M1 - AZUL;51,200603;18,760036;0,000000;69,960639;UN;Calculado;
0;2102160003;LARANJA;PORTAL M1 - LARANJA;56,235015;18,760036;0,000000;74,995051;UN;Calculado;
0;2102160003;LILAS;PORTAL M1 - LILAS;53,797159;18,760036;0,000000;72,557195;UN;Calculado;
0;2102160003;LIMAO;PORTAL M1 - VERDE LIMAO;52,583791;18,760036;0,000000;71,343827;UN;Calculado;
0;2102160003;VERDE;PORTAL M1 - VERDE;50,756871;18,760036;0,000000;69,516907;UN;Calculado;
0;2102160003;VERMELH;PORTAL M1 - VERMELHO;51,887259;18,760036;0,000000;70,647295;UN;Calculado;
0;2102160004;AMARELO;PORTAL M2 - AMARELO;15,564257;5,628011;0,000000;21,192268;UN;Calculado;
0;2102160004;AZUL;PORTAL M2 - AZUL;15,360178;5,628011;0,000000;20,988188;UN;Calculado;
0;2102160004;LARANJA;PORTAL M2 - LARANJA;16,870501;5,628011;0,000000;22,498512;UN;Calculado;
0;2102160004;LILAS;PORTAL M2 - LILAS;16,139144;5,628011;0,000000;21,767155;UN;Calculado;
0;2102160004;LIMAO;PORTAL M2 - VERDE LIMAO;15,775134;5,628011;0,000000;21,403145;UN;Calculado;
0;2102160004;VERDE;PORTAL M2 - VERDE;15,227058;5,628011;0,000000;20,855069;UN;Calculado;
0;2102160004;VERMELH;PORTAL M2 - VERMELHO;15,566174;5,628011;0,000000;21,194185;UN;Calculado;
0;2102160005;AMARELO;BORDA M1 - AMARELO;64,851085;23,450045;0,000000;88,301130;UN;Calculado;
0;2102160005;AZUL;BORDA M1 - AZUL;64,000755;23,450045;0,000000;87,450800;UN;Calculado;
0;2102160005;LARANJA;BORDA M1 - LARANJA;70,293770;23,450045;0,000000;93,743815;UN;Calculado;
0;2102160005;LILAS;BORDA M1 - LILAS;67,246450;23,450045;0,000000;90,696495;UN;Calculado;
0;2102160005;VERDE;BORDA M1 - VERDE;63,446090;23,450045;0,000000;86,896135;UN;Calculado;
0;2102160005;VERMELH;BORDA M1 - VERMELHO;64,859075;23,450045;0,000000;88,309120;UN;Calculado;
0;2102160006;AMARELO;EST TEIA M2 - AMARELO;64,851085;23,450045;0,000000;88,301130;UN;Calculado;
0;2102160006;AZUL;EST TEIA M2 - AZUL;64,000755;23,450045;0,000000;87,450800;UN;Calculado;
0;2102160006;LARANJA;EST TEIA M2 - LARANJA;70,293770;23,450045;0,000000;93,743815;UN;Calculado;
0;2102160006;LILAS;EST TEIA M2 - LILAS;67,246450;23,450045;0,000000;90,696495;UN;Calculado;
0;2102160006;LIMAO;EST TEIA M2 - VERDE LIMAO;65,729740;23,450045;0,000000;89,179785;UN;Calculado;
0;2102160006;VERDE;EST TEIA M2 - VERDE;63,446090;23,450045;0,000000;86,896135;UN;Calculado;
0;2102160006;VERMELH;EST TEIA M2 - VERMELHO;64,859075;23,450045;0,000000;88,309120;UN;Calculado;
0;2102160007;AMARELO;PORTAL M3 - AMARELO;39,398939;14,070027;0,000000;53,468966;UN;Calculado;
0;2102160007;AZUL;PORTAL M3 - AZUL;38,888741;14,070027;0,000000;52,958768;UN;Calculado;
0;2102160007;LARANJA;PORTAL M3 - LARANJA;42,664550;14,070027;0,000000;56,734577;UN;Calculado;
0;2102160007;LILAS;PORTAL M3 - LILAS;40,836158;14,070027;0,000000;54,906185;UN;Calculado;
0;2102160007;LIMAO;PORTAL M3 - VERDE LIMAO;39,437847;14,070027;0,000000;53,507874;UN;Calculado;
0;2102160007;VERDE;PORTAL M3 - VERDE;38,555942;14,070027;0,000000;52,625969;UN;Calculado;
0;2102160007;VERMELH;PORTAL M3 - VERMELHO;39,403733;14,070027;0,000000;53,473760;UN;Calculado;
0;2102160008;AMARELO;LATERAL M1 - AMARELO;45,395758;16,415032;0,000000;61,810790;UN;Calculado;
0;2102160008;AZUL;LATERAL M1 - AZUL;44,800527;16,415032;0,000000;61,215559;UN;Calculado;
0;2102160008;COLORID;LATERAL M1 - COLORIDA;46,243100;16,415032;0,000000;62,658132;UN;Calculado;
0;2102160008;LARANJA;LATERAL M1 - LARANJA;49,205638;16,415032;0,000000;65,620669;UN;Calculado;
0;2102160008;LILAS;LATERAL M1 - LILAS;47,072514;16,415032;0,000000;63,487545;UN;Calculado;
0;2102160008;VERDE;LATERAL M1 - VERDE;44,412262;16,415032;0,000000;60,827293;UN;Calculado;
0;2102160008;VERMELH;LATERAL M1 - VERMELHO;45,401351;16,415032;0,000000;61,816383;UN;Calculado;
0;2102160009;AMARELO;LATERAL M2 - AMARELO;64,851085;23,450045;0,000000;88,301130;UN;Calculado;
0;2102160009;AZUL;LATERAL M2 - AZUL;64,000755;23,450045;0,000000;87,450800;UN;Calculado;
0;2102160009;COLORID;LATERAL M2 - COLORIDA;46,243100;23,450045;0,000000;69,693145;UN;Calculado;
0;2102160009;LARANJA;LATERAL M2 - LARANJA;70,293770;23,450045;0,000000;93,743815;UN;Calculado;
0;2102160009;LILAS;LATERAL M2 - LILAS;67,246450;23,450045;0,000000;90,696495;UN;Calculado;
0;2102160009;LIMAO;LATERAL M2 - VERDE LIMAO;65,729740;23,450045;0,000000;89,179785;UN;Calculado;
0;2102160009;VERDE;LATERAL M2 - VERDE;63,446090;23,450045;0,000000;86,896135;UN;Calculado;
0;2102160009;VERMELH;LATERAL M2 - VERMELHO;64,859075;23,450045;0,000000;88,309120;UN;Calculado;
0;2102160010;AMARELO;BORDA M2 - AMARELO;64,851085;23,450045;0,000000;88,301130;UN;Calculado;
0;2102160010;VERDE;BORDA M2 - VERDE;63,446090;23,450045;0,000000;86,896135;UN;Calculado;
0;2102160011;AMARELO;LATERAL M3 - AMARELO;25,940431;9,380018;0,000000;35,320449;UN;Calculado;
0;2102160011;AZUL;LATERAL M3 - AZUL;25,600299;9,380018;0,000000;34,980317;UN;Calculado;
0;2102160011;COLORID;LATERAL M3 - COLORIDA;0,000000;9,380018;0,000000;9,380018;UN;Calculado;
0;2102160011;LARANJA;LATERAL M3 - LARANJA;28,117505;9,380018;0,000000;37,497523;UN;Calculado;
0;2102160011;LILAS;LATERAL M3 - LILAS;26,898582;9,380018;0,000000;36,278600;UN;Calculado;
0;2102160011;LIMAO;LATERAL M3 - VERDE LIMAO;26,291898;9,380018;0,000000;35,671916;UN;Calculado;
0;2102160011;VERDE;LATERAL M3 - VERDE;25,378433;9,380018;0,000000;34,758451;UN;Calculado;
0;2102160011;VERMELH;LATERAL M3 - VERMELHO;25,943627;9,380018;0,000000;35,323645;UN;Calculado;
0;2102160012;AMARELO;LATERAL M4 - AMARELO;25,940431;9,380018;0,000000;35,320449;UN;Calculado;
0;2102160012;AZUL;LATERAL M4 - AZUL;25,600299;9,380018;0,000000;34,980317;UN;Calculado;
0;2102160012;LARANJA;LATERAL M4 - LARANJA;28,117505;9,380018;0,000000;37,497523;UN;Calculado;
0;2102160012;LILAS;LATERAL M4 - LILAS;26,898577;9,380018;0,000000;36,278595;UN;Calculado;
0;2102160012;LIMAO;LATERAL M4 - VERDE LIMAO;26,291893;9,380018;0,000000;35,671911;UN;Calculado;
0;2102160012;VERDE;LATERAL M4 - VERDE;25,378433;9,380018;0,000000;34,758451;UN;Calculado;
0;2102160012;VERMELH;LATERAL M4 - VERMELHO;25,943627;9,380018;0,000000;35,323645;UN;Calculado;
0;2102160013;AZUL;PORTAL M4 - AZUL;44,800527;16,415032;0,000000;61,215559;UN;Calculado;
0;2102160013;LARANJA;PORTAL M4 - LARANJA;49,205638;16,415032;0,000000;65,620669;UN;Calculado;
