Sel.;Produto;Derivação;Descrição;Custo Variável;Custo Direto Fixo;CIF;Custo Total;UM;Origem Valor;Obs.
1;2002000014;LARANJA;PEMD 5,000 KG - LARANJA;45,582525;0;0;45,582525;UN;Calculado;
1;2002000014;LILAS;PEMD 5,000 KG - LILAS;45,27654;0;0;45,27654;UN;Calculado;
1;2002000014;LIMAO;PEMD 5,000 KG - VERDE LIMAO;49,149335;0;0;49,149335;UN;Calculado;
1;2002000014;VERDE;PEMD 5,000 KG - VERDE;44,44701;0;0;44,44701;UN;Calculado;
1;2002000014;VERMELH;PEMD 5,000 KG - VERMELHO;44,890455;0;0;44,890455;UN;Calculado;
1;2002000015;AMARELO;PEMD 6,000 KG - AMARELO;53,990862;0;0;53,990862;UN;Calculado;
1;2002000015;AZUL;PEMD 6,000 KG - AZUL;55,606752;0;0;55,606752;UN;Calculado;
1;2002000015;CINZA;PEMD 6,000 KG - CINZA;53,423364;0;0;53,423364;UN;Calculado;
1;2002000015;COLORID;PEMD 6,000 KG - COLORIDA;55,491444;0;0;55,491444;UN;Calculado;
1;2002000015;LARANJA;PEMD 6,000 KG - LARANJA;54,69903;0;0;54,69903;UN;Calculado;
1;2002000015;LILAS;PEMD 6,000 KG - LILAS;54,331848;0;0;54,331848;UN;Calculado;
1;2002000015;LIMAO;PEMD 6,000 KG - VERDE LIMAO;58,979202;0;0;58,979202;UN;Calculado;
1;2002000015;VERDE;PEMD 6,000 KG - VERDE;53,336412;0;0;53,336412;UN;Calculado;
1;2002000015;VERMELH;PEMD 6,000 KG - VERMELHO;53,868546;0;0;53,868546;UN;Calculado;
1;2002000016;AMARELO;PEMD 7,000 KG - AMARELO;62,989339;0;0;62,989339;UN;Calculado;
1;2002000016;AZUL;PEMD 7,000 KG - AZUL;64,874544;0;0;64,874544;UN;Calculado;
1;2002000016;CINZA;PEMD 7,000 KG - CINZA;62,327258;0;0;62,327258;UN;Calculado;
1;2002000016;COLORID;PEMD 7,000 KG - COLORIDA;64,740018;0;0;64,740018;UN;Calculado;
1;2002000016;LARANJA;PEMD 7,000 KG - LARANJA;63,815535;0;0;63,815535;UN;Calculado;
1;2002000016;LILAS;PEMD 7,000 KG - LILAS;63,387156;0;0;63,387156;UN;Calculado;
1;2002000016;LIMAO;PEMD 7,000 KG - VERDE LIMAO;68,809069;0;0;68,809069;UN;Calculado;
1;2002000016;VERDE;PEMD 7,000 KG - VERDE;62,225814;0;0;62,225814;UN;Calculado;
1;2002000016;VERMELH;PEMD 7,000 KG - VERMELHO;62,846637;0;0;62,846637;UN;Calculado;
1;2002000017;AMARELO;PEMD 8,000 KG - AMARELO;71,987816;0;0;71,987816;UN;Calculado;
1;2002000017;AZUL;PEMD 8,000 KG - AZUL;74,142336;0;0;74,142336;UN;Calculado;
1;2002000017;CINZA;PEMD 8,000 KG - CINZA;71,231152;0;0;71,231152;UN;Calculado;
1;2002000017;COLORID;PEMD 8,000 KG - COLORIDA;73,988592;0;0;73,988592;UN;Calculado;
1;2002000017;LARANJA;PEMD 8,000 KG - LARANJA;72,93204;0;0;72,93204;UN;Calculado;
